1.00003 91 263 91
263 91 574 61
574 61 906 -139
906 -139 1035 -345
1035 -345 1111 -671
1111 -671 1094 -902
1094 -902 1138 -1188
1138 -1188 1230 -1408
1230 -1408 1259 -1692
1259 -1692 1127 -1867
1127 -1867 896 -1954
896 -1954 532 -1915
532 -1915 234 -1694
234 -1694 179 -1434
179 -1434 213 -1188
213 -1188 432 -1015
432 -1015 611 -758
611 -758 467 -587
467 -587 93 -473
93 -473 -243 -572
-243 -572 -602 -742
-602 -742 -948 -610
-948 -610 -1074 -317
-1074 -317 -949 -128
-949 -128 -704 84
-704 84 -401 112
-401 112 17 91
-16 -78 264 -79
264 -79 604 -141
604 -141 865 -308
865 -308 978 -594
978 -594 964 -825
964 -825 964 -1077
964 -1077 1045 -1379
1045 -1379 1034 -1518
1034 -1518 865 -1651
865 -1651 650 -1616
650 -1616 520 -1458
520 -1458 566 -1248
566 -1248 653 -1079
653 -1079 715 -808
715 -808 734 -710
734 -710 677 -525
677 -525 531 -446
531 -446 141 -361
141 -361 -173 -365
-173 -365 -390 -469
-390 -469 -631 -576
-631 -576 -788 -534
-788 -534 -873 -392
-873 -392 -803 -194
-803 -194 -570 -100
-570 -100 5.99992 -77
==== ==== ==== ====
0 -53 -109 -49 135
1 592 -163 659 45
2 949 -597 1154 -589
3 976 -1234 1199 -1214
4 970 -1534 1254 -1785
5 731 -1608 690 -1969
6 190 -1698 577 -1476
7 602 -1241 394 -1016
8 563 -785 755 -803
9 492 -674 733 -549
10 96.0001 -492 102 -339
11 -538 -734 -622 -550
12 -888 -682 -758 -481
13 -799 -397 -1082 -384
14 -961 -77 -765 -238
15 -471 -155 -507 136
